grid_cell_id,lat,lon,ndvi,soil_moisture,lst,rainfall,grade,depth,reserve_class
CELL_088,21.8244,80.2044,0.386,0.719,26.42,1553.6,29.11,191.8,Low
CELL_089,21.8244,80.2122,0.62,0.721,24.23,1552.3,36.44,418.7,Medium
CELL_090,21.8244,80.22,0.289,0.729,25.94,1554.2,25.36,205.7,Low
CELL_091,21.83,80.15,0.476,0.696,26.38,1523.1,31.31,271.1,Low
CELL_092,21.83,80.1578,0.52,0.702,24.36,1537.7,44.16,232.9,High
CELL_093,21.83,80.1656,0.358,0.691,25.41,1555.5,22.75,82.3,Low
CELL_094,21.83,80.1733,0.274,0.697,25.9,1546.9,22.38,83.2,Low
CELL_095,21.83,80.1811,0.372,0.694,24.93,1531.3,31.05,382.6,Low
CELL_096,21.83,80.1889,0.454,0.713,25.32,1531.5,46.69,366.3,Medium
CELL_097,21.83,80.1967,0.294,0.728,24.44,1536.3,47.48,209.1,High
CELL_098,21.83,80.2044,0.286,0.668,25.27,1543.4,25.35,59.6,Low
CELL_099,21.83,80.2122,0.462,0.65,24.4,1518.6,30.99,100.9,Low
CELL_100,21.83,80.22,0.256,0.682,26.24,1545.1,23.06,105.0,Low
